2-E0040m-1,E0040m_CD-1,DVK_CD-1,,,,,,
8-J23116-1,J23116_AB-1,B0034m_BC-1,3xFLAG_CC1-1,E0040m_C1N-1,12 aa GS Linker_NO-1,6xHIS_OD-1,B0015_DE-1,DVK_AE-1
8-R0040-1,R0040_AB-1,B0034m_BC-1,3xFLAG_CC1-1,E0040m_C1N-1,12 aa GS Linker_NO-1,6xHIS_OD-1,B0015_DE-1,DVK_AE-1
8--J23106-2,J23106_AB-2,B0034m_BC-2,3xFLAG_CC1-2,E0040m_C1N-2,12 aa GS Linker_NO-2,6xHIS_OD-2,B0015_DE-2,DVK_AE-2
8-I13453-2,I13453_AB-2,B0034m_BC-2,3xFLAG_CC1-2,E0040m_C1N-2,12 aa GS Linker_NO-2,6xHIS_OD-2,B0015_DE-2,DVK_AE-2
8-J23100-2,J23100_AB-2,B0034m_BC-2,3xFLAG_CC1-2,E0040m_C1N-2,12 aa GS Linker_NO-2,6xHIS_OD-2,B0015_DE-2,DVK_AE-2
8-J23102-2,J23102_AB-2,B0034m_BC-2,3xFLAG_CC1-2,E0040m_C1N-2,12 aa GS Linker_NO-2,6xHIS_OD-2,B0015_DE-2,DVK_AE-2
8-J23103-2,J23103_AB-2,B0034m_BC-2,3xFLAG_CC1-2,E0040m_C1N-2,12 aa GS Linker_NO-2,6xHIS_OD-2,B0015_DE-2,DVK_AE-2
8-J23107-2,J23107_AB-2,B0034m_BC-2,3xFLAG_CC1-2,E0040m_C1N-2,12 aa GS Linker_NO-2,6xHIS_OD-2,B0015_DE-2,DVK_AE-2
8-J23116-2,J23116_AB-2,B0034m_BC-2,3xFLAG_CC1-2,E0040m_C1N-2,12 aa GS Linker_NO-2,6xHIS_OD-2,B0015_DE-2,DVK_AE-2
8-R0040-2,R0040_AB-2,B0034m_BC-2,3xFLAG_CC1-2,E0040m_C1N-2,12 aa GS Linker_NO-2,6xHIS_OD-2,B0015_DE-2,DVK_AE-2
8--J23106-4,J23106_AB-4,B0034m_BC-4,3xFLAG_CC1-4,E0040m_C1N-4,12 aa GS Linker_NO-4,6xHIS_OD-4,B0015_DE-4,DVK_AE-4
8-I13453-4,I13453_AB-4,B0034m_BC-4,3xFLAG_CC1-4,E0040m_C1N-4,12 aa GS Linker_NO-4,6xHIS_OD-4,B0015_DE-4,DVK_AE-4
8-J23100-4,J23100_AB-4,B0034m_BC-4,3xFLAG_CC1-4,E0040m_C1N-4,12 aa GS Linker_NO-4,6xHIS_OD-4,B0015_DE-4,DVK_AE-4
8-J23102-4,J23102_AB-4,B0034m_BC-4,3xFLAG_CC1-4,E0040m_C1N-4,12 aa GS Linker_NO-4,6xHIS_OD-4,B0015_DE-4,DVK_AE-4
8-J23103-4,J23103_AB-4,B0034m_BC-4,3xFLAG_CC1-4,E0040m_C1N-4,12 aa GS Linker_NO-4,6xHIS_OD-4,B0015_DE-4,DVK_AE-4
8-J23107-4,J23107_AB-4,B0034m_BC-4,3xFLAG_CC1-4,E0040m_C1N-4,12 aa GS Linker_NO-4,6xHIS_OD-4,B0015_DE-4,DVK_AE-4
8-J23116-4,J23116_AB-4,B0034m_BC-4,3xFLAG_CC1-4,E0040m_C1N-4,12 aa GS Linker_NO-4,6xHIS_OD-4,B0015_DE-4,DVK_AE-4
8-R0040-4,R0040_AB-4,B0034m_BC-4,3xFLAG_CC1-4,E0040m_C1N-4,12 aa GS Linker_NO-4,6xHIS_OD-4,B0015_DE-4,DVK_AE-4
